es_date,raw_date,btc_volume,btc_price,RSI_6,RSI_9,RSI_15,K_9,D_9
2015-11-11T00:00:00Z,20151111,50.63291656,321.29833333333335,46.73202438965939,47.84998536460051,48.70926972568804,20.856876432005695,19.37362453320902
2015-11-12T00:00:00Z,20151112,1000.0,330.01,47.34323353995685,48.24455535295005,48.97947380437021,21.378402859781783,21.03065848861841
2015-11-13T00:00:00Z,20151113,25.026013,329.85,46.683112516712264,47.82648491582032,48.69719449793391,19.439878863769362,20.55838605185224
2015-11-14T00:00:00Z,20151114,100.72932897,333.2975,46.75229078659919,47.865948545173644,48.72178021977545,16.00336804610897,18.94054992322
2015-11-15T00:00:00Z,20151115,50.02853705,332.63,46.703589968284376,47.83868523881467,48.70503161087649,28.091063608770472,21.178103506216228
2015-11-16T00:00:00Z,20151116,20000.002,325.69714285714286,64.27521189338522,58.34207709002778,55.198006647260335,55.122846444207504,33.07242603302894
2015-11-17T00:00:00Z,20151117,6162.085576579999,334.96888888888884,50.43467975122561,50.419594547996624,50.45189396283105,62.48535566530038,48.56642190609275
2015-11-18T00:00:00Z,20151118,25.43587926,334.16,45.24948805499213,47.22052716898977,48.4716166651471,43.5752637597401,53.72782195641596
2015-11-19T00:00:00Z,20151119,69.55759653999999,330.94,45.29801031194372,47.24760038542,48.487192382348084,10.316242711886668,38.79228737897568
2015-11-20T00:00:00Z,20151120,472.29342797000004,320.7925,45.823917990594545,47.52401170171099,48.639025279832836,0.8213758139022489,18.237627428509633
2015-11-21T00:00:00Z,20151121,75.77180312,323.80333333333334,45.309257081841295,47.24978322652397,48.488261470627954,0.9053741190696064,4.014330881619467
2015-11-22T00:00:00Z,20151122,312.35128264,324.27750000000003,45.745527682930884,47.45330345914904,48.59012815675496,1.3098630611869904,1.0122043313862414
2015-11-23T00:00:00Z,20151123,131.19574766,322.30333333333334,45.41265755347686,47.296109512447586,48.51142217573165,0.7399743887092701,0.9850705229885818
2015-11-24T00:00:00Z,20151124,229.91431077000001,320.886,45.67117209804714,47.40292413421415,48.56007079235093,0.9965234449989934,1.0154536316317109
2015-11-25T00:00:00Z,20151125,0.012045329999999995,319.39947368421053,45.07461674759502,47.15254959657821,48.44585559934808,0.5177222174017142,0.7514066837032854
2015-11-26T00:00:00Z,20151126,-142.47054869,341.99399999999997,44.64096414013678,46.9795421119043,48.370310685632845,0.34123132766938385,0.6184923300233234
2015-11-27T00:00:00Z,20151127,25.01482391,359.32,45.38217308661225,47.23555901850201,48.471509241590915,9.08128316767163,3.313412237580869
2015-11-28T00:00:00Z,20151128,126.16535936000001,354.992,45.90705943105032,47.40809825500454,48.53678114476953,23.64708501732312,11.023199837554671
2015-11-29T00:00:00Z,20151129,50.12270324,356.445,45.51248247319367,47.27734838805001,48.48730916933606,37.76200787746922,23.496792020821285
2015-11-30T00:00:00Z,20151130,50.81249651,375.82,45.51757990654963,47.27883223100767,48.487819466451086,42.846201671387696,34.751764855393304
2015-12-01T00:00:00Z,20151201,92082.81,376.82,96.590173830455,89.90862945186902,78.67956023325677,61.613733155069546,47.407314234642115
2015-12-02T00:00:00Z,20151202,0.00030000000000000003,354.0,45.44311977925462,47.0684966000545,48.31945878514654,47.55030407473536,50.67007963373083
2015-12-03T00:00:00Z,20151203,5000.0,362.35,47.262728442751,48.56558409321567,49.45415957160984,35.24348976981059,48.135842333205126
2015-12-04T00:00:00Z,20151204,223.99845712,360.055,45.52240722945538,47.13304829402321,48.36732345641367,2.042610720750762,28.27880152176553
2015-12-05T00:00:00Z,20151205,75.75951653,368.59499999999997,45.4600596330063,47.08455232075559,48.332000497640195,2.0185412476676885,13.101547246076308
2015-12-06T00:00:00Z,20151206,586.47809455,393.075,45.767143904078594,47.29473938894072,48.47091258822332,0.3721794523903179,1.4777771402695514
2015-12-07T00:00:00Z,20151207,0.00010136,395.74,45.414779979510065,47.05328447492508,48.311104537132216,0.23972516811681222,0.8768152893915682
2015-12-08T00:00:00Z,20151208,204.89789059,401.5466666666666,45.590402392333154,47.15931471082936,48.374817504748805,0.2864724284283811,0.299459016311799
2015-12-09T00:00:00Z,20151209,790.20878006,416.1816666666667,46.18393879538943,47.497204436045756,48.56884773163683,0.3602215835309506,0.29547306002534324
2015-12-10T00:00:00Z,20151210,75.5531137,415.46400000000006,45.457384995368066,47.08364363470816,48.331213527085886,0.8639083426750219,0.5035341182114131
2015-12-11T00:00:00Z,20151211,153.07949340000002,432.39,45.568855043295194,47.139813734217114,48.3605797705796,1.8102660765894447,1.011465334265101
2015-12-12T00:00:00Z,20151212,100.79973717,428.6275,45.49361691308417,47.10188310008449,48.34072885230301,5.776242076645545,2.8168054986366324
2015-12-13T00:00:00Z,20151213,25.09979093,435.1,45.36347432180051,47.04022556248339,48.30996426741091,6.331334272418057,4.639280808550978
2015-12-14T00:00:00Z,20151214,-851.5403570599999,441.7933333333333,43.6290637642315,46.251453358076475,47.93148010253699,5.31080497146322,5.8061271068422355
2015-12-15T00:00:00Z,20151215,25.18935386,463.76,46.10216848125316,47.246695511124315,48.364954204618115,18.859503216967624,10.167214153616262
2015-12-16T00:00:00Z,20151216,50.6764887,451.58500000000004,46.18453124736461,47.27862240003478,48.378339821982486,36.11892780405082,20.09641199749385
2015-12-17T00:00:00Z,20151217,75.49155429,453.7325,46.28044209254598,47.313548718742126,48.39229598430614,54.94096523534446,36.63979875212093
2015-12-18T00:00:00Z,20151218,0.00436908,459.39,45.981297701194535,47.206525397279115,48.34969214037005,65.39453456670559,52.15147586870025
2015-12-19T00:00:00Z,20151219,-15.0,459.71,45.91051595179083,47.182659797643055,48.34062871042887,74.8327789546354,65.0560929188951
2015-12-20T00:00:00Z,20151220,50.3119618,447.28499999999997,46.34196653157445,47.31309670747915,48.38575261602122,87.57692690620752,75.93474680918278
